"SEX","GEO","TIME","AGE","ISCED11","UNIT","Value","Flag and Footnotes"
"Total","European Union (28 countries)","2004","From 15 to 64 years","All ISCED 2011 levels ","Percentage","62.7",""
"Total","European Union (28 countries)","2004","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","47.1",""
"Total","European Union (28 countries)","2004","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","67.8",""
"Total","European Union (28 countries)","2004","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","82.5",""
"Total","European Union (28 countries)","2004","From 15 to 64 years","No response","Percentage","31.0",""
"Total","European Union (28 countries)","2005","From 15 to 64 years","All ISCED 2011 levels ","Percentage","63.4",""
"Total","European Union (28 countries)","2005","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","47.3","b"
"Total","European Union (28 countries)","2005","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","68.1","b"
"Total","European Union (28 countries)","2005","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","82.6","b"
"Total","European Union (28 countries)","2005","From 15 to 64 years","No response","Percentage","11.9","b"
"Total","European Union (28 countries)","2006","From 15 to 64 years","All ISCED 2011 levels ","Percentage","64.3",""
"Total","European Union (28 countries)","2006","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","47.8",""
"Total","European Union (28 countries)","2006","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","69.1",""
"Total","European Union (28 countries)","2006","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","83.1",""
"Total","European Union (28 countries)","2006","From 15 to 64 years","No response","Percentage","13.1",""
"Total","European Union (28 countries)","2007","From 15 to 64 years","All ISCED 2011 levels ","Percentage","65.2",""
"Total","European Union (28 countries)","2007","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","48.4",""
