SEX,GEO,AGE,N_CHILD,AGECHILD,ISCED11,TIME,Value,FlagandFootnotes
Total,European Union (28 countries),From 15 to 64 years,Total,Total,All ISCED 2011 levels ,2013,69.8,
Total,European Union (28 countries),From 15 to 64 years,Total,Total,All ISCED 2011 levels ,2014,70.6,b
Total,European Union (28 countries),From 15 to 64 years,Total,Total,All ISCED 2011 levels ,2015,71.4,
Total,European Union (28 countries),From 15 to 64 years,Total,Less than 6 years,All ISCED 2011 levels ,2013,71.6,
Total,European Union (28 countries),From 15 to 64 years,Total,Less than 6 years,All ISCED 2011 levels ,2014,72.9,b
Total,European Union (28 countries),From 15 to 64 years,Total,Less than 6 years,All ISCED 2011 levels ,2015,73.5,
Total,European Union (28 countries),From 15 to 64 years,Total,From 6 to 11 years,All ISCED 2011 levels ,2013,77,
Total,European Union (28 countries),From 15 to 64 years,Total,From 6 to 11 years,All ISCED 2011 levels ,2014,77.7,b
Total,European Union (28 countries),From 15 to 64 years,Total,From 6 to 11 years,All ISCED 2011 levels ,2015,78.2,
Total,European Union (28 countries),From 15 to 64 years,Total,12 years or over,All ISCED 2011 levels ,2013,75.7,
Total,European Union (28 countries),From 15 to 64 years,Total,12 years or over,All ISCED 2011 levels ,2014,76.3,b
Total,European Union (28 countries),From 15 to 64 years,Total,12 years or over,All ISCED 2011 levels ,2015,76.8,
Total,European Union (28 countries),From 15 to 64 years,No children,Total,All ISCED 2011 levels ,2013,66.2,
Total,European Union (28 countries),From 15 to 64 years,No children,Total,All ISCED 2011 levels ,2014,66.9,b
Total,European Union (28 countries),From 15 to 64 years,No children,Total,All ISCED 2011 levels ,2015,67.9,
Total,European Union (28 countries),From 15 to 64 years,No children,Less than 6 years,All ISCED 2011 levels ,2013,:,
Total,European Union (28 countries),From 15 to 64 years,No children,Less than 6 years,All ISCED 2011 levels ,2014,:,
Total,European Union (28 countries),From 15 to 64 years,No children,Less than 6 years,All ISCED 2011 levels ,2015,:,
Total,European Union (28 countries),From 15 to 64 years,No children,From 6 to 11 years,All ISCED 2011 levels ,2013,:,
Total,European Union (28 countries),From 15 to 64 years,No children,From 6 to 11 years,All ISCED 2011 levels ,2014,:,
Total,European Union (28 countries),From 15 to 64 years,No children,From 6 to 11 years,All ISCED 2011 levels ,2015,:,
Total,European Union (28 countries),From 15 to 64 years,No children,12 years or over,All ISCED 2011 levels ,2013,:,
Total,European Union (28 countries),From 15 to 64 years,No children,12 years or over,All ISCED 2011 levels ,2014,:,
Total,European Union (28 countries),From 15 to 64 years,No children,12 years or over,All ISCED 2011 levels ,2015,:,
Total,European Union (28 countries),From 15 to 64 years,1 child,Total,All ISCED 2011 levels ,2013,74.4,
Total,European Union (28 countries),From 15 to 64 years,1 child,Total,All ISCED 2011 levels ,2014,75.3,b
Total,European Union (28 countries),From 15 to 64 years,1 child,Total,All ISCED 2011 levels ,2015,75.9,
Total,European Union (28 countries),From 15 to 64 years,1 child,Less than 6 years,All ISCED 2011 levels ,2013,74.1,
Total,European Union (28 countries),From 15 to 64 years,1 child,Less than 6 years,All ISCED 2011 levels ,2014,75.6,b
Total,European Union (28 countries),From 15 to 64 years,1 child,Less than 6 years,All ISCED 2011 levels ,2015,76.1,
Total,European Union (28 countries),From 15 to 64 years,1 child,From 6 to 11 years,All ISCED 2011 levels ,2013,75.9,
Total,European Union (28 countries),From 15 to 64 years,1 child,From 6 to 11 years,All ISCED 2011 levels ,2014,76.2,b
Total,European Union (28 countries),From 15 to 64 years,1 child,From 6 to 11 years,All ISCED 2011 levels ,2015,77.1,
Total,European Union (28 countries),From 15 to 64 years,1 child,12 years or over,All ISCED 2011 levels ,2013,74,
Total,European Union (28 countries),From 15 to 64 years,1 child,12 years or over,All ISCED 2011 levels ,2014,74.7,b
Total,European Union (28 countries),From 15 to 64 years,1 child,12 years or over,All ISCED 2011 levels ,2015,75.2,
Total,European Union (28 countries),From 15 to 64 years,2 children,Total,All ISCED 2011 levels ,2013,77,
Total,European Union (28 countries),From 15 to 64 years,2 children,Total,All ISCED 2011 levels ,2014,77.9,b
Total,European Union (28 countries),From 15 to 64 years,2 children,Total,All ISCED 2011 levels ,2015,78.6,
Total,European Union (28 countries),From 15 to 64 years,2 children,Less than 6 years,All ISCED 2011 levels ,2013,73.4,
