SEX,GEO,TIME,AGE,UNIT,ISCED11,Value,FlagFootnotes
T,EU28,2006,Y15-64,PC,ED0-2,33.5,
T,EU28,2006,Y15-64,PC,ED3-8,66.5,
T,EU28,2006,Y15-64,PC,ED3_4,46.4,
T,EU28,2006,Y15-64,PC,ED5-8,20.0,
T,EU28,2007,Y15-64,PC,ED0-2,32.9,
T,EU28,2007,Y15-64,PC,ED3-8,67.1,
T,EU28,2007,Y15-64,PC,ED3_4,46.6,
T,EU28,2007,Y15-64,PC,ED5-8,20.5,
T,EU28,2008,Y15-64,PC,ED0-2,32.2,
T,EU28,2008,Y15-64,PC,ED3-8,67.8,
T,EU28,2008,Y15-64,PC,ED3_4,46.6,
T,EU28,2008,Y15-64,PC,ED5-8,21.2,
T,EU28,2009,Y15-64,PC,ED0-2,31.5,
T,EU28,2009,Y15-64,PC,ED3-8,68.5,
T,EU28,2009,Y15-64,PC,ED3_4,46.5,
T,EU28,2009,Y15-64,PC,ED5-8,22.0,
T,EU28,2010,Y15-64,PC,ED0-2,30.8,
T,EU28,2010,Y15-64,PC,ED3-8,69.2,
T,EU28,2010,Y15-64,PC,ED3_4,46.5,
T,EU28,2010,Y15-64,PC,ED5-8,22.8,
T,EU28,2011,Y15-64,PC,ED0-2,29.7,
T,EU28,2011,Y15-64,PC,ED3-8,70.3,
T,EU28,2011,Y15-64,PC,ED3_4,46.6,
T,EU28,2011,Y15-64,PC,ED5-8,23.7,
T,EU28,2012,Y15-64,PC,ED0-2,28.8,
T,EU28,2012,Y15-64,PC,ED3-8,71.2,
T,EU28,2012,Y15-64,PC,ED3_4,46.6,
T,EU28,2012,Y15-64,PC,ED5-8,24.6,
T,EU28,2013,Y15-64,PC,ED0-2,27.9,
T,EU28,2013,Y15-64,PC,ED3-8,72.1,
T,EU28,2013,Y15-64,PC,ED3_4,46.7,
T,EU28,2013,Y15-64,PC,ED5-8,25.4,
T,EU28,2014,Y15-64,PC,ED0-2,27.5,b
T,EU28,2014,Y15-64,PC,ED3-8,72.5,b
T,EU28,2014,Y15-64,PC,ED3_4,46.6,b
T,EU28,2014,Y15-64,PC,ED5-8,26.0,b
T,EU28,2015,Y15-64,PC,ED0-2,26.9,
T,EU28,2015,Y15-64,PC,ED3-8,73.1,
T,EU28,2015,Y15-64,PC,ED3_4,46.4,
T,EU28,2015,Y15-64,PC,ED5-8,26.7,
T,EU27,2006,Y15-64,PC,ED0-2,33.6,
T,EU27,2006,Y15-64,PC,ED3-8,66.4,
T,EU27,2006,Y15-64,PC,ED3_4,46.3,
T,EU27,2006,Y15-64,PC,ED5-8,20.1,
T,EU27,2007,Y15-64,PC,ED0-2,32.9,
T,EU27,2007,Y15-64,PC,ED3-8,67.1,
T,EU27,2007,Y15-64,PC,ED3_4,46.5,
T,EU27,2007,Y15-64,PC,ED5-8,20.6,
T,EU27,2008,Y15-64,PC,ED0-2,32.2,
T,EU27,2008,Y15-64,PC,ED3-8,67.8,
T,EU27,2008,Y15-64,PC,ED3_4,46.5,
T,EU27,2008,Y15-64,PC,ED5-8,21.3,
T,EU27,2009,Y15-64,PC,ED0-2,31.6,
T,EU27,2009,Y15-64,PC,ED3-8,68.4,
T,EU27,2009,Y15-64,PC,ED3_4,46.4,
T,EU27,2009,Y15-64,PC,ED5-8,22.1,
T,EU27,2010,Y15-64,PC,ED0-2,30.8,
T,EU27,2010,Y15-64,PC,ED3-8,69.2,
T,EU27,2010,Y15-64,PC,ED3_4,46.4,
T,EU27,2010,Y15-64,PC,ED5-8,22.8,
T,EU27,2011,Y15-64,PC,ED0-2,29.8,
T,EU27,2011,Y15-64,PC,ED3-8,70.2,
T,EU27,2011,Y15-64,PC,ED3_4,46.5,
T,EU27,2011,Y15-64,PC,ED5-8,23.8,
T,EU27,2012,Y15-64,PC,ED0-2,28.9,
T,EU27,2012,Y15-64,PC,ED3-8,71.1,
T,EU27,2012,Y15-64,PC,ED3_4,46.4,
T,EU27,2012,Y15-64,PC,ED5-8,24.7,
T,EU27,2013,Y15-64,PC,ED0-2,28.0,
T,EU27,2013,Y15-64,PC,ED3-8,72.0,
T,EU27,2013,Y15-64,PC,ED3_4,46.6,
T,EU27,2013,Y15-64,PC,ED5-8,25.5,
T,EU27,2014,Y15-64,PC,ED0-2,27.6,b
T,EU27,2014,Y15-64,PC,ED3-8,72.4,b
T,EU27,2014,Y15-64,PC,ED3_4,46.4,b
T,EU27,2014,Y15-64,PC,ED5-8,26.0,b
T,EU27,2015,Y15-64,PC,ED0-2,27.0,
T,EU27,2015,Y15-64,PC,ED3-8,73.0,
T,EU27,2015,Y15-64,PC,ED3_4,46.3,
T,EU27,2015,Y15-64,PC,ED5-8,26.7,
T,EU15,2006,Y15-64,PC,ED0-2,36.2,
T,EU15,2006,Y15-64,PC,ED3-8,63.8,
T,EU15,2006,Y15-64,PC,ED3_4,42.0,
T,EU15,2006,Y15-64,PC,ED5-8,21.8,
T,EU15,2007,Y15-64,PC,ED0-2,35.5,
T,EU15,2007,Y15-64,PC,ED3-8,64.5,
T,EU15,2007,Y15-64,PC,ED3_4,42.2,
T,EU15,2007,Y15-64,PC,ED5-8,22.3,
T,EU15,2008,Y15-64,PC,ED0-2,34.8,
T,EU15,2008,Y15-64,PC,ED3-8,65.2,
T,EU15,2008,Y15-64,PC,ED3_4,42.3,
T,EU15,2008,Y15-64,PC,ED5-8,22.9,
T,EU15,2009,Y15-64,PC,ED0-2,34.2,
T,EU15,2009,Y15-64,PC,ED3-8,65.8,
T,EU15,2009,Y15-64,PC,ED3_4,42.2,
T,EU15,2009,Y15-64,PC,ED5-8,23.6,
T,EU15,2010,Y15-64,PC,ED0-2,33.3,
T,EU15,2010,Y15-64,PC,ED3-8,66.7,
T,EU15,2010,Y15-64,PC,ED3_4,42.4,
T,EU15,2010,Y15-64,PC,ED5-8,24.3,
T,EU15,2011,Y15-64,PC,ED0-2,32.2,
T,EU15,2011,Y15-64,PC,ED3-8,67.8,
T,EU15,2011,Y15-64,PC,ED3_4,42.6,
T,EU15,2011,Y15-64,PC,ED5-8,25.2,
T,EU15,2012,Y15-64,PC,ED0-2,31.3,
T,EU15,2012,Y15-64,PC,ED3-8,68.7,
T,EU15,2012,Y15-64,PC,ED3_4,42.7,
T,EU15,2012,Y15-64,PC,ED5-8,26.1,
T,EU15,2013,Y15-64,PC,ED0-2,30.2,
T,EU15,2013,Y15-64,PC,ED3-8,69.8,
T,EU15,2013,Y15-64,PC,ED3_4,42.9,
T,EU15,2013,Y15-64,PC,ED5-8,26.9,
T,EU15,2014,Y15-64,PC,ED0-2,29.6,b
T,EU15,2014,Y15-64,PC,ED3-8,70.4,b
T,EU15,2014,Y15-64,PC,ED3_4,43.1,b
T,EU15,2014,Y15-64,PC,ED5-8,27.3,b
T,EU15,2015,Y15-64,PC,ED0-2,29.1,
T,EU15,2015,Y15-64,PC,ED3-8,70.9,
T,EU15,2015,Y15-64,PC,ED3_4,43.0,
T,EU15,2015,Y15-64,PC,ED5-8,28.0,
T,EA19,2006,Y15-64,PC,ED0-2,37.4,
T,EA19,2006,Y15-64,PC,ED3-8,62.6,
T,EA19,2006,Y15-64,PC,ED3_4,42.2,
T,EA19,2006,Y15-64,PC,ED5-8,20.3,
T,EA19,2007,Y15-64,PC,ED0-2,36.6,
T,EA19,2007,Y15-64,PC,ED3-8,63.4,
T,EA19,2007,Y15-64,PC,ED3_4,42.6,
T,EA19,2007,Y15-64,PC,ED5-8,20.8,
T,EA19,2008,Y15-64,PC,ED0-2,35.8,
T,EA19,2008,Y15-64,PC,ED3-8,64.2,
T,EA19,2008,Y15-64,PC,ED3_4,42.7,
T,EA19,2008,Y15-64,PC,ED5-8,21.5,
T,EA19,2009,Y15-64,PC,ED0-2,35.3,
T,EA19,2009,Y15-64,PC,ED3-8,64.7,
T,EA19,2009,Y15-64,PC,ED3_4,42.6,
T,EA19,2009,Y15-64,PC,ED5-8,22.1,
T,EA19,2010,Y15-64,PC,ED0-2,34.6,
T,EA19,2010,Y15-64,PC,ED3-8,65.4,
T,EA19,2010,Y15-64,PC,ED3_4,42.8,
T,EA19,2010,Y15-64,PC,ED5-8,22.6,
T,EA19,2011,Y15-64,PC,ED0-2,33.3,
T,EA19,2011,Y15-64,PC,ED3-8,66.7,
T,EA19,2011,Y15-64,PC,ED3_4,43.2,
